heuristic,workload,configuration,metsla,sla,predict
OO,200,3_m3_medium,true,30000,true
OO,200,2_m3_large,true,30000,true
OO,200,1_m3_xlarge,true,30000,true
OO,200,4_m3_medium,true,30000,true
OO,200,3_c3_large,true,30000,true
OO,200,2_c3_xlarge,true,30000,true
OO,200,3_m3_large,true,30000,true
OO,200,1_c3_2xlarge,true,30000,true
OO,200,4_c3_large,true,30000,true
OO,200,4_m3_large,true,30000,true
OO,200,2_m3_xlarge,true,30000,true
OO,200,1_m3_2xlarge,true,30000,true
OO,200,3_c3_xlarge,true,30000,true
OO,200,4_c3_xlarge,true,30000,true
OO,200,2_c3_2xlarge,true,30000,true
OO,200,3_m3_xlarge,true,30000,true
OO,200,2_m3_2xlarge,true,30000,true
OO,200,4_m3_xlarge,true,30000,true
OO,200,3_c3_2xlarge,true,30000,true
OO,200,4_c3_2xlarge,true,30000,true
OO,200,3_m3_2xlarge,true,30000,true
OO,200,4_m3_2xlarge,true,30000,true
OO,300,1_m3_medium,false,30000,false
OO,300,1_c3_large,true,30000,false
OO,300,1_m3_large,true,30000,false
OO,300,2_m3_medium,false,30000,false
OO,300,2_c3_large,true,30000,true
OO,300,1_c3_xlarge,true,30000,true
OO,300,3_m3_medium,true,30000,true
OO,300,2_m3_large,true,30000,true
OO,300,1_m3_xlarge,true,30000,true
OO,300,4_m3_medium,true,30000,true
OO,300,3_c3_large,true,30000,true
OO,300,2_c3_xlarge,true,30000,true
OO,300,3_m3_large,true,30000,true
OO,300,1_c3_2xlarge,true,30000,true
OO,300,4_c3_large,true,30000,true
OO,300,4_m3_large,true,30000,true
OO,300,2_m3_xlarge,true,30000,true
OO,300,1_m3_2xlarge,true,30000,true
OO,300,3_c3_xlarge,true,30000,true
OO,300,4_c3_xlarge,true,30000,true
OO,300,2_c3_2xlarge,true,30000,true
OO,300,3_m3_xlarge,true,30000,true
OO,300,2_m3_2xlarge,true,30000,true
OO,300,4_m3_xlarge,true,30000,true
OO,300,3_c3_2xlarge,true,30000,true
OO,300,4_c3_2xlarge,true,30000,true
OO,300,3_m3_2xlarge,true,30000,true
OO,300,4_m3_2xlarge,true,30000,true
OO,400,1_m3_medium,false,30000,false
OO,400,1_c3_large,false,30000,false
OO,400,1_m3_large,false,30000,false
OO,400,2_m3_medium,false,30000,false
OO,400,2_c3_large,true,30000,true
OO,400,1_c3_xlarge,true,30000,true
OO,400,3_m3_medium,false,30000,false
OO,400,2_m3_large,true,30000,true
OO,400,1_m3_xlarge,true,30000,true
